LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C125205,TORCH(火炬),CT41G-0603-2X1-50V-0.1uF-K(N),,C0603,,-,20,,,CT41G-0603-2X1-50V-0.1uF-K(N),TORCH,50,0.0080,0.40,C125205,-,50,50,4000,93400,In Stock,,100nF ±10% 50V Ceramic Capacitor 0603,Exact Matches,
C19702,SAMSUNG(三星),CL10A106KP8NNNC,,C0603,,-,8,,,CL10A106KP8NNNC,Samsung Electro-Mechanics,50,0.0060,0.30,C19702,-,50,50,4000,3795350,In Stock,,10uF ±10% 10V Ceramic Capacitor X5R 0603,Exact Matches,
C19666,SAMSUNG(三星),CL10A475KO8NNNC,,C0603,,-,1,,,CL10A475KO8NNNC,Samsung Electro-Mechanics,10,0.0101,0.10,C19666,-,10,10,4000,4854150,In Stock,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,Exact Matches,
C29936,SAMSUNG(三星),CL10B105KA8NNNC,,C0603,,-,3,,,CL10B105KA8NNNC,Samsung Electro-Mechanics,50,0.0039,0.20,C29936,-,50,50,4000,6776450,In Stock,,1uF ±10% 25V Ceramic Capacitor X7R 0603,Exact Matches,
C1653,SAMSUNG(三星),CL10C220JB8NNNC,,C0603,,-,4,,,CL10C220JB8NNNC,Samsung Electro-Mechanics,100,0.0025,0.25,C1653,-,100,100,4000,3237400,In Stock,,22pF ±5% 50V Ceramic Capacitor C0G 0603,Exact Matches,
C965807,XINGLIGHT(成兴光),XL-1608UBC-04,,LED0603-RD_BLUE,,-,1,,,XL-1608UBC-04,XINGLIGHT,100,0.0019,0.19,C965807,-,100,100,4000,1455600,In Stock,,Blue 470nm LED Indication - Discrete 3.3V 0603,Exact Matches,
C2994781,EVERLIGHT(亿光),19-219/GHC-YR2T1B5Y/3T,,LED-SMD_L1.6-W0.8_19-219-GHC-YR2T1B5Y-3T,,-,2,,,19-219/GHC-YR2T1B5Y/3T,EVERLIGHT,10,0.0721,0.72,C2994781,-,10,10,3000,80310,In Stock,,Green 525nm LED Indication - Discrete 0603,Exact Matches,
C98220,YAGEO(国巨),RC0603FR-0710KL,,R0603,,-,22,,,RC0603FR-0710KL,YAGEO,100,0.0007,0.07,C98220,-,100,100,5000,7204200,In Stock,,100mW 10kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,
C114613,YAGEO(国巨),RC0603FR-07240RL,,R0603,,-,1,,,RC0603FR-07240RL,YAGEO,100,0.0007,0.07,C114613,-,100,100,5000,191400,In Stock,,100mW 240Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,
C23345,UNI-ROYAL(厚声),0603WAF220JT5E,,R0603,,-,4,,,0603WAF220JT5E,UNI-ROYAL,100,0.0006,0.06,C23345,-,100,100,5000,2268000,In Stock,,22Ω ±1% 100mW 0603 Thick Film Resistor,Exact Matches,
C105881,YAGEO(国巨),RC0603FR-07330RL,,R0603,,-,4,,,RC0603FR-07330RL,YAGEO,100,0.0007,0.07,C105881,-,100,100,5000,130900,In Stock,,100mW 330Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,
C7529389,SHOU HAN(首韩),TF-CARD H1.8,,TF-SMD_TF-CARD-H1.8,,-,1,,,TF-CARD H1.8,SHOU HAN,10,0.0526,0.53,C7529389,-,10,10,1000,54710,In Stock,,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,Exact Matches,
C5252714,XUNPU(讯普),TYPEC-250Y-BRP6L68,,TYPE-C-SMD_XUNPU_TYPEC-250Y-BRP6L68,,-,1,,,TYPEC-250Y-BRP6L68,XUNPU,10,0.0611,0.61,C5252714,-,10,10,1500,1150,In Stock,,USB-C (USB TYPE-C) Receptacle Connector Surface Mount,Exact Matches,
C6186,AMS,AMS1117-3.3,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,-,1,,,AMS1117-3.3,Advanced Monolithic Systems,5,0.1343,0.67,C6186,-,5,5,2500,620875,In Stock,,"3.3V 15V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Exact Matches,
C2891837,YONGYUTAI(永裕泰),AMS1117-1.8,,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,,-,1,,,AMS1117-1.8,YONGYUTAI,10,0.0398,0.40,C2891837,-,10,10,2500,1220,In Stock,,Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223,Exact Matches,
C7436029,ETA(钰泰),ETA5050V0S2F,,SOT-23-5_L3.0-W1.5-P0.95-LS2.8-BL,,-,1,,,ETA5050V0S2F,etasolution,10,0.0304,0.30,C7436029,-,10,10,3000,3920,In Stock,,Linear Voltage Regulator IC Positive Fixed 1 Output 500mA SOT23-5,Exact Matches,
C500275,SAMSUNG(三星半导体),K4B4G1646E-BYMA,,FBGA-96_L13.5-W7.5-R16-C6-P0.80-TL,,-,1,,,K4B4G1646E-BYMA,SAMSUNG,1,6.7676,6.77,C500275,-,1,1,112,852,In Stock,,4Gbit 1.28V~1.45V 933MHz DDR3L SDRAM FBGA-96(7.5x13.3) Memory (ICs) RoHS,Exact Matches,
C308941,Siproin(上海矽朋),SSP1117-1.5V,,SOT-223_L6.3-W3.5-P2.30-LS7.0-BR,,-,1,,,SSP1117-1.5V,Siproin,5,0.0642,0.32,C308941,-,5,5,2500,3840,In Stock,,"1.5V 20V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Exact Matches,
C84681,WCH(南京沁恒),CH340C,,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,,-,1,,,CH340C,WCH,1,0.4110,0.41,C84681,-,1,1,50,21168,In Stock,,Transceiver 2Mbps USB 2.0 SOP-16 Interface Controllers RoHS,Exact Matches,
C2762334,REALTEK(瑞昱),RTL8723DS-CG,,WQFN-48_L6.0-W6.0-P0.40-BL-EP4.2,,-,1,,,RTL8723DS-CG,REALTEK,1,1.5239,1.52,C2762334,-,1,1,490,465,In Stock,,150Mbps 2.4GHz~2.4835GHz 2.45GHz 3V~3.6V WQFN-48-EP(6x6) RF Transceiver ICs RoHS,Exact Matches,
C4749207,DEALON(德艺隆),RF-IPEX03-01,,IPEX-SMD_4P-L2.6-W2.6-LS3.0-1,,-,1,,,RF-IPEX03-01,DEALON,10,0.0588,0.59,C4749207,SMD,10,10,5000,9730,In Stock,,Connector Receptacle IPEX Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C4749207.html
C5444545,YXC(扬兴晶振),XL2EL89COI-111YLC-24M,,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,-,1,,,XL2EL89COI-111YLC-24M,YXC Crystal Oscillators,10,0.0620,0.62,C5444545,-,10,10,3000,179710,In Stock,,Crystal 24MHz ±10ppm 12pF SMD3225-4P,Exact Matches,
C295530,TAITIEN(泰艺电子),XVHEELNANF-40MHZ,,CRYSTAL-SMD_4P-L5.0-W3.2-BL,,-,1,,,XVHEELNANF-40MHZ,TAITIEN Elec,5,0.2860,1.43,C295530,-,5,5,1000,0,Backordered,,Crystal 40MHz ±30ppm 20pF SMD5032-4P,Exact Matches,
C2649901,Littelfuse(美国力特),MINISMDC050F-2,,F1812,,-,1,,,MINISMDC050F-2,Littelfuse,5,0.0957,0.48,C2649901,-,5,5,2000,81245,In Stock,,Polymeric PTC Resettable Fuse 24V 1.1A Surface Mount 1812,Exact Matches,
C19273150,YONGYUTAI(永裕泰),YLED0603W,,LED0603-RD,,-,1,,,YLED0603W,YONGYUTAI,50,0.0071,0.36,C19273150,-,50,50,4000,2300,In Stock,,White LED Indication - Discrete 2.6V~3V 0603,Exact Matches,
C720477,XUNPU(讯普),TS-1088-AR02016,,SW-SMD_L3.9-W3.0-P4.45,,-,2,,,TS-1088-AR02016,XUNPU,10,0.0514,0.51,C720477,"SMD,4x3mm",10,10,4000,517930,In Stock,,Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C720477.html
C50980,BOOMELE(博穆精密),2.54mm 2*20P直排针,,HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,,-,1,,,2.54mm 2*20P,BOOMELE(Boom Precision Elec),5,0.1744,0.87,C50980,-,5,5,200,3005,In Stock,,Pin Header 40 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,Exact Matches,
C720525,XUNPU(讯普),USB-231-ARY,,USB-A-TH_USB-231-ARY,,-,2,,,USB-231-ARY,XUNPU,5,0.1525,0.76,C720525,-,5,5,100,30760,In Stock,,USB-A (USB TYPE-A) Receptacle Connector 4 Position Right Angle,Exact Matches,
C2904521,Milliohm(毫欧),HoLTT0603-1/10W-4.7K-1%,,R0603,,-,2,,,HoLTT0603-1/10W-4.7K-1%,Milliohm,20,0.0227,0.45,C2904521,-,20,20,5000,14380,In Stock,,4.7kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,
C22447822,Rockchip(瑞芯微),RK3308B,,BGA-355_L13.0-W13.0-P0.65_RK3308,,-,1,,,RK3308B,Rockchip,1,4.1080,4.11,C22447822,-,1,1,119,0,Backordered,,TFBGA-355 Microcontrollers RoHS,Exact Matches,
